alt	temp	750
0	30	475
0	35	480
0	40	480
0	45	485
0	50	485
1000	-2	475
1000	3	480
1000	8	480
1000	13	480
1000	18	485
1000	23	485
1000	28	490
1000	33	495
1000	38	495
1000	43	500
1000	48	500
2000	-19	475
2000	-14	480
2000	-9	485
2000	-4	485
2000	1	490
2000	6	495
2000	11	495
2000	16	500
2000	21	505
2000	26	505
2000	31	510
2000	36	515
2000	41	515
2000	46	520
3000	-21	490
3000	-16	495
3000	-11	500
3000	-6	505
3000	-1	505
3000	4	510
3000	9	515
3000	14	515
3000	19	520
3000	24	525
3000	29	525
3000	34	530
3000	39	535
3000	44	535
4000	-23	510
4000	-18	510
4000	-13	515
4000	-8	520
4000	-3	525
4000	2	525
4000	7	530
4000	12	535
4000	17	535
4000	22	540
4000	27	545
4000	32	545
4000	37	550
4000	42	555
5000	-25	525
5000	-20	530
5000	-15	535
5000	-10	535
5000	-5	540
5000	0	545
5000	5	550
5000	10	550
5000	15	555
5000	20	560
5000	25	560
5000	30	565
5000	35	570
5000	40	570
6000	-27	545
6000	-22	545
6000	-17	550
6000	-12	555
6000	-7	560
6000	-2	560
6000	3	565
6000	8	570
6000	13	575
6000	18	575
6000	23	580
6000	28	585
6000	33	590
6000	38	590
7000	-29	560
7000	-24	565
7000	-19	570
7000	-14	575
7000	-9	575
7000	-4	580
7000	1	585
7000	6	590
7000	11	595
7000	16	595
7000	21	600
7000	26	605
7000	31	605
7000	36	610
8000	-31	580
8000	-26	585
8000	-21	590
8000	-16	595
8000	-11	595
8000	-6	600
8000	-1	605
8000	4	610
8000	9	615
8000	14	615
8000	19	620
8000	24	625
8000	29	630
8000	34	630
