alt	temp	750
0	30	470
0	35	475
0	40	480
0	45	485
0	50	490
1000	-7	470
1000	-2	475
1000	3	480
1000	8	490
1000	13	495
1000	18	500
1000	23	505
1000	28	510
1000	33	510
1000	38	510
1000	43	510
1000	48	510
2000	-19	500
2000	-14	510
2000	-9	515
2000	-4	520
2000	1	525
2000	6	525
2000	11	525
2000	16	525
2000	21	525
2000	26	530
2000	31	535
2000	36	540
2000	41	550
2000	46	555
3000	-21	540
3000	-16	540
3000	-11	540
3000	-6	540
3000	-1	545
3000	4	555
3000	9	560
3000	14	565
3000	19	570
3000	24	570
3000	29	570
3000	34	575
3000	39	575
3000	44	575
4000	-23	565
4000	-18	575
4000	-13	580
4000	-8	590
4000	-3	590
4000	2	590
4000	7	590
4000	12	590
4000	17	595
4000	22	605
4000	27	610
4000	32	620
4000	37	625
4000	42	630
5000	-25	610
5000	-20	610
5000	-15	610
5000	-10	615
5000	-5	620
5000	0	630
5000	5	640
5000	10	645
5000	15	650
5000	20	655
5000	25	655
5000	30	660
5000	35	665
5000	40	670
6000	-27	645
6000	-22	655
6000	-17	665
6000	-12	670
6000	-7	675
6000	-2	680
6000	3	680
6000	8	685
6000	13	695
6000	18	700
6000	23	705
6000	28	710
6000	33	720
6000	38	725
7000	-29	700
7000	-24	700
7000	-19	705
7000	-14	715
7000	-9	720
7000	-4	730
7000	1	735
7000	6	745
7000	11	750
7000	16	755
7000	21	765
7000	26	770
7000	31	780
7000	36	785
8000	-31	750
8000	-26	755
8000	-21	765
8000	-16	775
8000	-11	780
8000	-6	790
8000	-1	800
8000	4	805
8000	9	815
8000	14	820
8000	19	830
8000	24	840
8000	29	845
8000	34	855
